UserName,text,created_at,followers_count,retweet_count,favorite_count,TweetID,Retweeted,UserID,language,verified
JudyBoomtown,"RT @charliekirk11: The @realDonaldTrump economy:

6 million new jobs

3.1% GDP growth

Lowest unemployment since 1969

3.2% wage growth

6.…",Fri Jun 28 04:25:37 +0000 2019,145,1384,0,1144461829814403072,False,45402267,en,False
blufftalk,RT @eugenegu: @realDonaldTrump Healthcare is a human right for everyone in the United States. Undocumented immigrants are people too. To de…,Fri Jun 28 04:25:37 +0000 2019,1280,1145,0,1144461829696921600,False,274189061,en,False
IP_Sidhu,"RT @The_Trump_Train: @realDonaldTrump Not one candidate has talked about how their going to help LEGAL AMERICAN CITIZENS.

Shame on them!",Fri Jun 28 04:25:37 +0000 2019,449,1725,0,1144461829403320320,False,2737579165,en,False
markus21d,@thiafails @tedlieu @POTUS @KamalaHarris @realDonaldTrump Be smart https://t.co/Oan6GrS76P,Fri Jun 28 04:25:37 +0000 2019,522,0,0,1144461828820332545,False,3288615504,en,False
Laf71818,"RT @ProudResister: Night 1 = @EWarren

Night 2 = @KamalaHarris 

Sorry @JoeBiden and @BernieSanders, but you are not the strongest candidat…",Fri Jun 28 04:25:37 +0000 2019,241,242,0,1144461828572893185,False,1121299391816654848,en,False
DonnaBr82566768,"RT @parscale: Democrats completely avoid the truth. 

Thousands of children are trafficked across the border as the “children” of their com…",Fri Jun 28 04:25:37 +0000 2019,2211,2473,0,1144461827201310720,False,792571303,en,False
SarahLe42222971,"RT @GOPChairwoman: This isn’t the vote of confidence Joe Biden was hoping to receive from Obama’s campaign mastermind.

@realDonaldTrump is…",Fri Jun 28 04:25:37 +0000 2019,301,368,0,1144461825980817408,False,1067483878468796418,en,False
GloriaB95897401,"RT @w_terrence: .@realDonaldTrump is officially running in 2020!
 
RT if you are singing &amp; dancing with me!!!

#TrumpRallyOrlando https://t…",Fri Jun 28 04:25:36 +0000 2019,362,19425,0,1144461825435566083,False,786712691880693760,en,False
lauriefreeman72,@realDonaldTrump I’m pretty sure they tried but you lot took it away.,Fri Jun 28 04:25:36 +0000 2019,78,0,0,1144461824835772416,False,32209887,en,False
Belgarion_III,@JeffreyGuterman @realDonaldTrump It’s a Russian bot.,Fri Jun 28 04:25:36 +0000 2019,987,0,0,1144461824558948352,False,825832828902440961,en,False
grumpysusie,RT @tedlieu: My view is that the winner of a Presidential election is often the person most unlike the current @POTUS. Voters are looking f…,Fri Jun 28 04:25:36 +0000 2019,228,196,0,1144461823824916480,False,972585365856030721,en,False
qarmyrnnh,RT @mattgaetz: No person on that stage is interesting enough to defeat @realDonaldTrump. Not even close.,Fri Jun 28 04:25:36 +0000 2019,655,3049,0,1144461823439077376,False,1143192436359028736,en,False
planotxrfs,RT @StevePieczenik: Big Brother #Googlegulag is winning lets getb some control #NSA @NSAGov @realDonaldTrump @starsandstripes https://t.co/…,Fri Jun 28 04:25:36 +0000 2019,329,17,0,1144461822998671361,False,47361456,en,False
dasdrums,@realDonaldTrump Mayor Pete is coming for you. There is no way you can match him in wits. You will outmatched big time.,Fri Jun 28 04:25:36 +0000 2019,98,0,0,1144461822172360704,False,26859833,en,False
jagair1,"RT @ScottPresler: Today, I met a woman who didn't vote until she was 72 years old. 

She was inspired by two words @realDonaldTrump said: ""…",Fri Jun 28 04:25:36 +0000 2019,2368,526,0,1144461822105227264,False,715807531063488513,en,False
TheDilshadKhan,RT @realDonaldTrump: I will be interviewed by @MariaBartiromo today at 8:15 A.M. on @FoxBusiness. Enjoy!,Fri Jun 28 04:25:36 +0000 2019,185,6590,0,1144461821870407683,False,817469397732388865,en,False
michaelpoon1025,RT @Kama_Tsuki: @HKNordicHearts @realDonaldTrump @realDonaldTrump Please help HongKongers defend our constitution and our autonomy https://…,Fri Jun 28 04:25:35 +0000 2019,0,1,0,1144461821559992321,False,2904489462,en,False
SteveBTI,"RT @tedlieu: The Rex Tillerson testimony shows why the @realDonaldTrump Administration's foreign policy was chaotic, unprincipled and ineff…",Fri Jun 28 04:25:35 +0000 2019,156,6492,0,1144461820855369729,False,53710490,en,False
Rhoadmon1,"@WhiteHouse @realDonaldTrump Merkle remembered the meme of him in Helsinki with the bowl of spaghetti on his head,… https://t.co/hFPO54gJEh",Fri Jun 28 04:25:35 +0000 2019,268,0,0,1144461820100395014,False,1275104102,en,False
Antsoair,@realDonaldTrump In 1787 the slave holding states forced a compromise to count slaves as 3/5th of a person.  Slave… https://t.co/BdtR6VfsMr,Fri Jun 28 04:25:35 +0000 2019,7,0,0,1144461820024934401,False,47816379,en,False
ChadIsProTrump,RT @realDonaldTrump: All Democrats just raised their hands for giving millions of illegal aliens unlimited healthcare. How about taking car…,Fri Jun 28 04:25:35 +0000 2019,372,34104,0,1144461819592859650,False,893721283099148289,en,False
Valerie06017075,"RT @dmon4ever: @Intelligencia76 @realDonaldTrump @LindseyGrahamSC @AmbJohnBolton NO! Why should he?

""Those who do not learn from the past…",Fri Jun 28 04:25:35 +0000 2019,217,23,0,1144461819269881857,False,1097381423592493057,en,False
ibegrannyof3,"RT @BruceAlrighty45: 🚨POLL ALERT🚨

SCOTUS punted the Citizenship Question on the Census back to lower court liberal Obama Judges- jeopardiz…",Fri Jun 28 04:25:35 +0000 2019,616,320,0,1144461819257339904,False,697120024415248384,en,False
charltonwalker1,RT @realDonaldTrump: All Democrats just raised their hands for giving millions of illegal aliens unlimited healthcare. How about taking car…,Fri Jun 28 04:25:35 +0000 2019,199,34104,0,1144461819173412865,False,3145263900,en,False
nielsen2jake,"@realDonaldTrump Go deny climate change, senile old man",Fri Jun 28 04:25:35 +0000 2019,155,0,0,1144461818963750914,False,2463714663,en,False
EvanJenkinsEJ,RT @leopardthinks1: @thebling_vote @JordanChariton @NBCNews @BernieSanders @SenSanders @wikileaks @xychelsea @realDonaldTrump @TulsiGabbard…,Fri Jun 28 04:25:35 +0000 2019,3000,1,0,1144461818716278784,False,34762951,en,False
NotNowNotEver34,@realDonaldTrump FIRST OF ALL NOT EVERY DEMOCRAT THINKS ILLEGALS ARE AWESOME AND SECOND OF ALL YOU'RE THE ONE WHO I… https://t.co/ErpPdjqP4s,Fri Jun 28 04:25:35 +0000 2019,10,0,0,1144461818632400899,False,1113891018477309952,en,False
Ray6681,"@realDonaldTrump President Trump, please liberate Hong Kong! Don’t lose us like Saigon. We are the best DEAL in G20… https://t.co/x53M4KIkNo",Fri Jun 28 04:25:35 +0000 2019,2,0,0,1144461817822904321,False,856175223430725632,en,False
CHARLESGDAVIS1,RT @SexCounseling: @SaraCarterDC @Twitter @realDonaldTrump @JoeBiden They got caught so now they have to admit it.,Fri Jun 28 04:25:34 +0000 2019,445,36,0,1144461816493268992,False,1014341767821430785,en,False
jkochano,@realDonaldTrump Now sign it!,Fri Jun 28 04:25:34 +0000 2019,210,0,0,1144461816489054209,False,15805635,en,False
Christi77929362,RT @ToriHands: My one big takeaway from the #DemDebate last night was that @realDonaldTrump will be my president until January of 2025! #si…,Fri Jun 28 04:25:34 +0000 2019,6760,1,0,1144461815880937472,False,825874962460323840,en,False
zuckeenan,"RT @williamlegate: @realDonaldTrump No, that’s not what happened, you dope… they didn’t say “unlimited healthcare”",Fri Jun 28 04:25:34 +0000 2019,272,52,0,1144461815805440000,False,2314647031,en,False
WarlockNMN,@TheUniCanadian @HumanityFirstX @williamlegate @phzix @realDonaldTrump If it's not an illness that needs to be trea… https://t.co/9oQLQ0Hg4w,Fri Jun 28 04:25:34 +0000 2019,30,0,0,1144461815750856705,False,1030697507003740160,en,False
JimGordon328,"RT @parscale: Democrats are lying!

@realDonaldTrump is completely for LEGAL immigration. Democrats are conflating illegal and legal immigr…",Fri Jun 28 04:25:34 +0000 2019,1211,3480,0,1144461814874304513,False,43216988,en,False
therealnomama,"@realDonaldTrump Remember when the State Department covered up a Pedophile Ring being run within it's ranks?
https://t.co/x24BqiDIkA",Fri Jun 28 04:25:34 +0000 2019,4943,0,0,1144461814723272706,False,1080434509445656577,en,False
reallyrichard,RT @brcraig69: @Stormierainn @Heeeellllooooo @TomPerez And the grassroots were full of mold under em until @realDonaldTrump became the #Peo…,Fri Jun 28 04:25:34 +0000 2019,740,2,0,1144461814534569986,False,20218070,en,False
Imalittleplunk,RT @millybeny: @realDonaldTrump Obviously Morrison has been spruiking how fabulous he Is again🤢. G20 dinner spent discussing how America ca…,Fri Jun 28 04:25:34 +0000 2019,52,1,0,1144461813884411907,False,25028281,en,False
Sam74597644,"@LindseyGrahamSC @realDonaldTrump This is a funny tweet.

You got to laugh at the Democrat Cadidates.

They're like Parrots!",Fri Jun 28 04:25:34 +0000 2019,129,0,0,1144461813616005128,False,1026320540166836224,en,False
TheDilshadKhan,"RT @realDonaldTrump: Democrats want Open Borders, which equals violent crime, drugs and human trafficking. They also want very high taxes,…",Fri Jun 28 04:25:33 +0000 2019,185,18632,0,1144461813041389568,False,817469397732388865,en,False
scottcvoss,"“...the number of clips in a gun.” ??? #WTF @JoeBiden #Pro2A
@realDonaldTrump",Fri Jun 28 04:25:33 +0000 2019,327,0,0,1144461812198281216,False,321498887,en,False
subratamodi,"RT @narendramodi: The talks with @POTUS were wide ranging. We discussed ways to leverage the power of technology, improve defence and secur…",Fri Jun 28 04:25:33 +0000 2019,115,634,0,1144461812106067968,False,4542847392,en,False
distpoisson,RT @realDonaldTrump: BORING!,Fri Jun 28 04:25:33 +0000 2019,10,73125,0,1144461810801582080,False,960484350377713664,en,False
vjvatan19,"RT @narendramodi: Today’s meeting of the JAI Trilateral was a productive one. We had extensive discussions on the Indo-Pacific region, impr…",Fri Jun 28 04:25:33 +0000 2019,793,2623,0,1144461810776469504,False,84353604,en,False
ChettriBikki,@wokebrowngirl23 @avenaim @realDonaldTrump Ye deko Zoo Animals They look like Indian from outside and Trying copyin… https://t.co/FHWLDomKZv,Fri Jun 28 04:25:33 +0000 2019,2,0,0,1144461810537381888,False,1033659685377699840,en,False
SammE_I_Am_E,@d0llfac3d @WayneDupreeShow @realDonaldTrump Why?  Why is it ok 4 US citizens to sleep on the streets? Why is it ok… https://t.co/SyiYHMoFrc,Fri Jun 28 04:25:33 +0000 2019,29,0,0,1144461810109562881,False,1134437006447169536,en,False
